Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
BE;Zimmerwald;894;601465;191762
BE;Zollikofen;538;601047;204797
BE;Zuzwil (BE);346;602164;210979
BE;Zweisimmen;7302;595490;155341
BE;Zwieselberg;245;613483;173182
LU;Adligenswil;699;670620;213897
LU;Aesch (LU);462;660742;234373
LU;Alberswil;354;642214;221972
LU;AltbÅron;677;633774;226625
LU;Altishofen;577;639445;227909
LU;Altwis;292;661608;232496
LU;Baldeggersee;522;662281;227968
LU;Ballwil;875;668155;222117
LU;BeromÅnster;285;657402;228231
LU;Buchrain;481;669026;217148
LU;Buchs (LU);467;645461;228041
LU;BÅron;541;649738;229388
LU;Buttisholz;1675;649609;218345
LU;Dagmersellen;1402;642154;229604
LU;Dierikon;278;670912;216330
LU;Doppleschwand;695;646555;206940
LU;Ebersecken;856;637917;225601
LU;Ebikon;968;667809;214523
LU;Egolzwil;416;642790;226059
LU;Eich;594;655560;223474
LU;Emmen;2033;664360;215409
LU;Entlebuch;5689;650921;203008
LU;Ermensee;568;660277;230813
LU;Eschenbach (LU);1323;666276;219753
LU;Escholzmatt;6141;638213;195822
LU;Ettiswil;646;643971;222127
LU;Fischbach;805;635466;222435
LU;FlÅhli;10819;643589;188780
LU;Gelfingen;389;663404;229104
LU;Gettnau;608;640059;220980
LU;Geuensee;645;651363;228097
LU;Gisikon;109;673215;219834
LU;Greppen;332;676095;211985
LU;Grossdietwil;1019;634978;225095
LU;Grosswangen;1971;646753;220461
LU;Gunzwil;2324;656037;227824
LU;Hallwilersee (LU);152;659651;234426
LU;HÑmikon;466;663702;232597
LU;Hasle (LU);4029;648548;200122
LU;Hergiswil bei Willisau;3135;639254;212427
LU;Herlisberg;262;660057;227651
LU;Hildisrieden;705;660160;222126
LU;Hitzkirch;358;662024;230538
LU;Hochdorf;963;664701;223891
LU;Hohenrain;1959;666532;226129
LU;Honau;125;673639;220652
LU;Horw;1284;666313;207297
LU;Inwil;1031;670548;220174
LU;Knutwil;973;647912;227330
LU;Kottwil;611;645706;223765
LU;Kriens;2734;662363;208071
LU;Kulmerau;362;649265;233791
LU;Langnau bei Reiden;860;638805;231411
LU;Lieli;367;665690;229393
LU;Littau;1325;661751;212502
LU;Luthern;3779;635650;211264
LU;Luzern;1581;667369;211056
LU;Malters;2863;657111;210473
